CODIGO;DESCRICAO;REFERECIA;COMPLEMENTO;VOLUME;CELULA;LINHA;CUSTO
1;101/1 BR/ BR SPOT INJ P/1 LAMP S/ ALETA ;101/1 BR/BR ;BRANCO/ BRANCO;24;CELULA ( 4 );INFINITY;14,77
4;101/1 PR/ PR SPOT INJ P/1 LAMP S/ ALETA ;101/1 PR/ PR;PRETO/ PRETO;24;CELULA ( 4 );INFINITY;10,1172
5;101/2 PR/ PR SPOT INJ P/2 LAMP S/ ALETA;101/2 PR/ PR;PRETO/ PRETO;12;CELULA ( 4 );INFINITY;19,2599
6;101/2 BR/ BR SPOT INJ P/2 LAMP S/ ALETA ;101/2 BR/ BR;BRANCO/ BRANCO;12;CELULA ( 4 );INFINITY;19,85
9;102/1 BR/ BR SPOT INJ P/1 LAMP C/ ALETA ;102/1 BR/ BR;BRANCO/ BRANCO ;24;CELULA ( 4 );INFINITY;11,1517
12;102/1 PR/ PR SPOT INJ P/1 LAMP C/ ALETA ;102/1 PR/ PR;PRETO/ PRETO;24;CELULA ( 4 );INFINITY;11,1517
13;102/2 BR/ BR SPOT INJ P/2 LAMP C/ ALETA ;102/2 BR/ BR;BRANCO/ BRANCO ;12;CELULA ( 4 );INFINITY;20,4389
16;102/2 PR/ PR SPOT INJ P/2 LAMP C/ ALETA ;102/2 PR/ PR;PRETO/ PRETO ;12;CELULA ( 4 );INFINITY;20,4389
17;103/1 BR/ BR SPOT INJ P/ 1 LAMP ELETRON;103/1 BR/ BR;BRANCO/ BRANCO ;24;CELULA ( 1 );INFINITY;20,2424
20;103/1 PR/ PR SPOT INJ P/ 1 LAMP ELETRON;103/1 PR/ PR;PRETO/ PRETO ;24;CELULA ( 1 );INFINITY;20,2424
21;103/2 BR/ BR SPOT INJ P/ 2 LAMP ELETRON;103/2 BR/ BR;BRANCO/ BRANCO ;12;CELULA ( 1 );INFINITY;31,49
22;103/2 BR/ PR SPOT INJ P/ 2 LAMP ELETRON ;103/2 BR/ PR;BRANCO/ PRETO;12;CELULA ( 2 );INFINITY;0
24;103/2 PR/ PR SPOT INJ P/ 2 LAMP ELETRON;103/2 PR/ PR;PRETO/ PRETO ;12;CELULA ( 1 );INFINITY;11,1334
25;110 PR PENDENTE INJ EM TERMOPLASTICO ;110 PR;PRETO ;4;CELULA ( 4 );SOBERANA;57,7438
26;110 BR PENDENTE INJ EM TERMOPLASTICO ;110 BR;BRANCO ;4;CELULA ( 4 );SOBERANA;85,1388
27;111 PR ARANDELA INJ TERMO C/SUPORTE INF ;111 PR;PRETO;4;CELULA ( 4 );SOBERANA;52,0581
28;111 BR ARANDELA INJ TERMO C/SUPORTE INF ;111 BR;BRANCO ;4;CELULA ( 4 );SOBERANA;102,6125
29;112 PR ARANDELA INJ TERMO C/SUPORTE SUP ;112 PR;PRETO ;4;CELULA ( 4 );SOBERANA;103,1928
30;112 BR ARANDELA INJ TERMO C/SUPORTE SUP ;112 BR;BRANCO;4;CELULA ( 4 );SOBERANA;49,73
31;116 PR POSTE C/TUBO AL P/1 LAMP INJ TER;116 PR C/ TAG;PRETO;1;CELULA ( 5 );SOBERANA;277,39
32;116 BR POSTE C/TUBO AL P/1 LAMP INJ TER;116 BR C/ TAG;BRANCO ;1;CELULA ( 5 );SOBERANA;277,39
